id,name,ordering,playbackentitymoduleid,playbackentityid,skills
7,1. Fundamentos de ciberseguridad en la operación minera,7,entitytutorial,ciberseguridad-1,
8,"2. Contraseñas, identidad y accesos",8,entitytutorial,ciberseguridad-1,
9,3. Phishing e ingeniería social,9,entitytutorial,ciberseguridad-1,
10,"4. Dispositivos, información y trabajo remoto",10,entitytutorial,ciberseguridad-1,
11,5. Tecnología operacional (OT) y respuesta a incidentes,11,entitytutorial,ciberseguridad-1,
12,"7. Casos adicionales: comunidades, contratistas y seguridad",12,entitytutorial,AZ_tFsHKimsE6yOlqXpA,
